unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1710028800,2024-03-10 00:00:00,ETH/USDT,3905.1,3959.9,3792.6,3877.5,114.54830252,444161.0430213
1709942400,2024-03-09 00:00:00,ETH/USDT,3880.3,3940.8,3875.6,3906.8,78.11134516,305165.403271088
1709856000,2024-03-08 00:00:00,ETH/USDT,3871.4,3993.3,3829.7,3883.7,259.13524731,1006403.559977847
1709769600,2024-03-07 00:00:00,ETH/USDT,3822.6,3930.3,3738.6,3869.2,163.07870067,630984.108632364
1709683200,2024-03-06 00:00:00,ETH/USDT,3554.6,3900.3,3502.2,3818.3,475.71615236,1816426.984556188
1709596800,2024-03-05 00:00:00,ETH/USDT,3626.5,3821.2,3200.0,3549.2,949.86038674,3371244.4846176077
1709510400,2024-03-04 00:00:00,ETH/USDT,3487.6,3639.6,3433.4,3625.6,319.54202922,1158531.581140032
1709424000,2024-03-03 00:00:00,ETH/USDT,3418.9,3490.0,3362.3,3481.6,165.96247993,577814.970124288
1709337600,2024-03-02 00:00:00,ETH/USDT,3432.9,3458.4,3395.5,3418.8,118.07078754,403660.408441752
1709251200,2024-03-01 00:00:00,ETH/USDT,3340.2,3449.8,3338.5,3432.5,184.17879872,632193.7266064
1709164800,2024-02-29 00:00:00,ETH/USDT,3382.5,3517.9,3300.0,3344.9,816.25707134,2730298.2779251663
1709078400,2024-02-28 00:00:00,ETH/USDT,3243.8,3484.0,3090.0,3383.2,399.47222206,1351494.421673392
1708992000,2024-02-27 00:00:00,ETH/USDT,3177.3,3288.0,3165.8,3239.1,273.87326101,887102.879737491
1708905600,2024-02-26 00:00:00,ETH/USDT,3112.7,3194.0,3037.8,3176.0,474.53289076,1507116.46105376
1708819200,2024-02-25 00:00:00,ETH/USDT,2993.2,3118.0,2985.4,3112.9,270.58983283,842319.090616507
1708732800,2024-02-24 00:00:00,ETH/USDT,2922.0,3001.3,2906.8,2992.4,83.16423551,248860.658340124
1708646400,2024-02-23 00:00:00,ETH/USDT,2972.1,2992.6,2906.2,2921.8,226.17900157,660849.806787226
1708560000,2024-02-22 00:00:00,ETH/USDT,2966.4,3033.3,2908.5,2972.0,488.92745022,1453092.38205384
1708473600,2024-02-21 00:00:00,ETH/USDT,3012.1,3017.2,2870.0,2970.3,436.56864138,1296739.835491014
1708387200,2024-02-20 00:00:00,ETH/USDT,2945.1,3030.0,2884.0,3015.5,556.20282926,1677229.6316335301
1708300800,2024-02-19 00:00:00,ETH/USDT,2881.5,2981.7,2857.5,2941.7,201.06932510,591485.6336466699
1708214400,2024-02-18 00:00:00,ETH/USDT,2786.9,2958.1,2766.6,2878.7,555.93405783,1600367.372275221
1708128000,2024-02-17 00:00:00,ETH/USDT,2801.5,2803.9,2720.0,2786.2,115.38029972,321472.59107986395
1708041600,2024-02-16 00:00:00,ETH/USDT,2822.6,2857.0,2743.7,2803.1,383.25805192,1074310.645336952
